========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-05-15 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-05-15 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
2018-05-18 18:30  to 2018-05-18 18:45,0.371,,
2018-05-18 18:45  to 2018-05-18 19:00,0.300,,
2018-05-18 19:00  to 2018-05-18 19:15,0.349,,
2018-05-18 19:15  to 2018-05-18 19:30,0.196,,
2018-05-18 19:30  to 2018-05-18 19:45,0.167,,
2018-05-18 19:45  to 2018-05-18 20:00,0.112,,
2018-05-18 20:00  to 2018-05-18 20:15,0.076,,
2018-05-18 20:15  to 2018-05-18 20:30,0.103,,
2018-05-18 20:30  to 2018-05-18 20:45,0.110,,
2018-05-18 20:45  to 2018-05-18 21:00,0.140,,
2018-05-18 21:00  to 2018-05-18 21:15,0.049,,
2018-05-18 21:15  to 2018-05-18 21:30,0.165,,
2018-05-18 21:30  to 2018-05-18 21:45,0.481,,
2018-05-18 21:45  to 2018-05-18 22:00,0.343,,
2018-05-18 22:00  to 2018-05-18 22:15,0.488,,
2018-05-18 22:15  to 2018-05-18 22:30,0.230,,
2018-05-18 22:30  to 2018-05-18 22:45,0.178,,
2018-05-18 22:45  to 2018-05-18 23:00,0.184,,
2018-05-18 23:00  to 2018-05-18 23:15,0.260,,
2018-05-18 23:15  to 2018-05-18 23:30,0.121,,
2018-05-18 23:30  to 2018-05-18 23:45,0.059,,
2018-05-18 23:45  to 2018-05-19 00:00,0.074,,

========================================
Interval Blockdata for period starting:, 2018-05-19 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-05-19 00:00  to 2018-05-19 00:15,0.104,,
2018-05-19 00:15  to 2018-05-19 00:30,0.038,,
2018-05-19 00:30  to 2018-05-19 00:45,0.041,,
2018-05-19 00:45  to 2018-05-19 01:00,0.067,,
2018-05-19 01:00  to 2018-05-19 01:15,0.040,,
2018-05-19 01:15  to 2018-05-19 01:30,0.038,,
2018-05-19 01:30  to 2018-05-19 01:45,0.056,,
2018-05-19 01:45  to 2018-05-19 02:00,0.054,,
2018-05-19 02:00  to 2018-05-19 02:15,0.038,,
2018-05-19 02:15  to 2018-05-19 02:30,0.039,,
2018-05-19 02:30  to 2018-05-19 02:45,0.067,,
2018-05-19 02:45  to 2018-05-19 03:00,0.043,,
2018-05-19 03:00  to 2018-05-19 03:15,0.041,,
2018-05-19 03:15  to 2018-05-19 03:30,0.108,,
2018-05-19 03:30  to 2018-05-19 03:45,0.082,,
2018-05-19 03:45  to 2018-05-19 04:00,0.056,,
2018-05-19 04:00  to 2018-05-19 04:15,0.059,,
2018-05-19 04:15  to 2018-05-19 04:30,0.071,,
2018-05-19 04:30  to 2018-05-19 04:45,0.086,,
